ad_id,region,percentage
1008720766139638,Ontario,0.545196
1008720766139638,Prince Edward Island,0.000359
1008720766139638,Saskatchewan,0.028216
1008720766139638,Yukon,0.00386
1008720766139638,Nunavut,0.003577
1008720766139638,Quebec,0
1008720766139638,Newfoundland and Labrador,0
1008720766139638,Northwest Territories,0
1191930410997729,Alberta,0.137927
1191930410997729,British Columbia,0.158214
1191930410997729,Manitoba,0.038224
1191930410997729,New Brunswick,0.029317
1191930410997729,Nova Scotia,0.030183
1191930410997729,Ontario,0.577561
1191930410997729,Prince Edward Island,0.000371
1191930410997729,Saskatchewan,0.023751
1191930410997729,Yukon,0.003093
1191930410997729,Nunavut,0.001361
1191930410997729,Quebec,0
1191930410997729,Newfoundland and Labrador,0
1191930410997729,Northwest Territories,0
656879464838744,Ontario,0.5
656879464838744,Yukon,0.5
656879464838744,Quebec,0
656879464838744,Alberta,0
656879464838744,Manitoba,0
656879464838744,New Brunswick,0
656879464838744,Prince Edward Island,0
656879464838744,Northwest Territories,0
656879464838744,Nunavut,0
656879464838744,Nova Scotia,0
656879464838744,Newfoundland and Labrador,0
656879464838744,British Columbia,0
656879464838744,Saskatchewan,0
925195204520953,Ontario,1
925195204520953,Quebec,0
925195204520953,Alberta,0
925195204520953,Manitoba,0
925195204520953,New Brunswick,0
925195204520953,Prince Edward Island,0
925195204520953,Northwest Territories,0
925195204520953,Yukon,0
925195204520953,Nunavut,0
925195204520953,Nova Scotia,0
925195204520953,Newfoundland and Labrador,0
925195204520953,British Columbia,0
925195204520953,Saskatchewan,0
399666827611094,Alberta,0.1
399666827611094,British Columbia,0.108333
399666827611094,Manitoba,0.058333
399666827611094,New Brunswick,0.033333
399666827611094,Nova Scotia,0.025
399666827611094,Ontario,0.625
399666827611094,Saskatchewan,0.05
399666827611094,Quebec,0
399666827611094,Prince Edward Island,0
399666827611094,Northwest Territories,0
399666827611094,Yukon,0
399666827611094,Nunavut,0
399666827611094,Newfoundland and Labrador,0
410549612878409,Alberta,0.14301
410549612878409,British Columbia,0.134472
410549612878409,Manitoba,0.057631
410549612878409,New Brunswick,0.055496
410549612878409,Nova Scotia,0.043757
410549612878409,Ontario,0.518677
410549612878409,Saskatchewan,0.040555
410549612878409,Yukon,0.005336
410549612878409,Nunavut,0.001067
410549612878409,Quebec,0
410549612878409,Newfoundland and Labrador,0
410549612878409,Northwest Territories,0
410549612878409,Prince Edward Island,0
455566175166324,Alberta,0.216216
455566175166324,British Columbia,0.135135
455566175166324,Manitoba,0.054054
455566175166324,New Brunswick,0.081081
455566175166324,Nova Scotia,0.036036
455566175166324,Ontario,0.423423
455566175166324,Saskatchewan,0.045045
455566175166324,Nunavut,0.009009
455566175166324,Quebec,0
455566175166324,Prince Edward Island,0
455566175166324,Northwest Territories,0
455566175166324,Yukon,0
455566175166324,Newfoundland and Labrador,0
476686019602115,Alberta,0.149877
476686019602115,British Columbia,0.152334
476686019602115,Manitoba,0.04914
476686019602115,New Brunswick,0.046683
476686019602115,Nova Scotia,0.051597
476686019602115,Ontario,0.496314
476686019602115,Saskatchewan,0.054054
476686019602115,Quebec,0
476686019602115,Prince Edward Island,0
476686019602115,Northwest Territories,0
476686019602115,Yukon,0
476686019602115,Nunavut,0
476686019602115,Newfoundland and Labrador,0
481902252400631,Alberta,0.152488
481902252400631,British Columbia,0.139647
481902252400631,Manitoba,0.035313
481902252400631,New Brunswick,0.041734
481902252400631,Nova Scotia,0.035313
481902252400631,Ontario,0.548957
481902252400631,Saskatchewan,0.044944
481902252400631,Yukon,0.001605
481902252400631,Quebec,0
481902252400631,Prince Edward Island,0
481902252400631,Northwest Territories,0
481902252400631,Nunavut,0
481902252400631,Newfoundland and Labrador,0
505871793599024,Alberta,0.090909
505871793599024,British Columbia,0.045455
505871793599024,Nova Scotia,0.045455
505871793599024,Ontario,0.818182
505871793599024,Quebec,0
505871793599024,New Brunswick,0
505871793599024,Manitoba,0
505871793599024,Prince Edward Island,0
505871793599024,Northwest Territories,0
505871793599024,Yukon,0
505871793599024,Nunavut,0
505871793599024,Newfoundland and Labrador,0
505871793599024,Saskatchewan,0
538697586950948,Alberta,0.162562
538697586950948,British Columbia,0.141215
538697586950948,Manitoba,0.027915
538697586950948,New Brunswick,0.055829
538697586950948,Nova Scotia,0.041051
538697586950948,Ontario,0.515599
538697586950948,Saskatchewan,0.049261
538697586950948,Yukon,0.006568
538697586950948,Quebec,0
538697586950948,Prince Edward Island,0
538697586950948,Northwest Territories,0
538697586950948,Nunavut,0
538697586950948,Newfoundland and Labrador,0
779568992508147,Alberta,0.127273
779568992508147,British Columbia,0.072727
779568992508147,Manitoba,0.054545
779568992508147,New Brunswick,0.036364
779568992508147,Ontario,0.690909
779568992508147,Saskatchewan,0.018182
779568992508147,Quebec,0
779568992508147,Prince Edward Island,0
779568992508147,Northwest Territories,0
779568992508147,Yukon,0
779568992508147,Nunavut,0
779568992508147,Nova Scotia,0
779568992508147,Newfoundland and Labrador,0
835832036818718,Alberta,0.13198
835832036818718,British Columbia,0.121827
835832036818718,Manitoba,0.043147
835832036818718,New Brunswick,0.053299
835832036818718,Nova Scotia,0.048223
835832036818718,Ontario,0.553299
835832036818718,Saskatchewan,0.048223
835832036818718,Quebec,0
835832036818718,Prince Edward Island,0
835832036818718,Northwest Territories,0
835832036818718,Yukon,0
835832036818718,Nunavut,0
835832036818718,Newfoundland and Labrador,0
860481291014555,Alberta,0.047619
860481291014555,British Columbia,0.047619
860481291014555,Manitoba,0.095238
860481291014555,New Brunswick,0.142857
860481291014555,Nova Scotia,0.047619
860481291014555,Ontario,0.619048
860481291014555,Quebec,0
860481291014555,Prince Edward Island,0
860481291014555,Northwest Territories,0
860481291014555,Yukon,0
860481291014555,Nunavut,0
860481291014555,Newfoundland and Labrador,0
860481291014555,Saskatchewan,0
1195711363972769,Alberta,0.134831
1195711363972769,British Columbia,0.116573
1195711363972769,Manitoba,0.044944
1195711363972769,New Brunswick,0.046348
1195711363972769,Nova Scotia,0.036517
1195711363972769,Ontario,0.564607
1195711363972769,Saskatchewan,0.051966
1195711363972769,Yukon,0.001404
1195711363972769,Nunavut,0.002809
1195711363972769,Quebec,0
1195711363972769,Newfoundland and Labrador,0
1195711363972769,Northwest Territories,0
1195711363972769,Prince Edward Island,0
1420227518130653,Alberta,0.161638
1420227518130653,British Columbia,0.154095
1420227518130653,Manitoba,0.034483
1420227518130653,New Brunswick,0.053879
1420227518130653,Nova Scotia,0.048491
1420227518130653,Ontario,0.498922
1420227518130653,Saskatchewan,0.038793
1420227518130653,Yukon,0.009698
1420227518130653,Quebec,0
1420227518130653,Prince Edward Island,0
1420227518130653,Northwest Territories,0
1420227518130653,Nunavut,0
1420227518130653,Newfoundland and Labrador,0
1756456337818653,Alberta,0.195122
1756456337818653,British Columbia,0.115854
1756456337818653,Manitoba,0.042683
1756456337818653,New Brunswick,0.060976
1756456337818653,Nova Scotia,0.060976
1756456337818653,Ontario,0.445122
1756456337818653,Prince Edward Island,0.006098
1756456337818653,Saskatchewan,0.067073
1756456337818653,Yukon,0.006098
1756456337818653,Quebec,0
1756456337818653,Newfoundland and Labrador,0
1756456337818653,Northwest Territories,0
1756456337818653,Nunavut,0
2442618606010310,Alberta,0.132867
2442618606010310,British Columbia,0.125874
2442618606010310,Manitoba,0.048951
2442618606010310,New Brunswick,0.027972
2442618606010310,Nova Scotia,0.041958
2442618606010310,Ontario,0.58042
2442618606010310,Saskatchewan,0.041958
2442618606010310,Quebec,0
2442618606010310,Prince Edward Island,0
2442618606010310,Northwest Territories,0
2442618606010310,Yukon,0
2442618606010310,Nunavut,0
2442618606010310,Newfoundland and Labrador,0
2446229998991763,Alberta,0.139601
2446229998991763,British Columbia,0.148148
2446229998991763,Manitoba,0.054131
2446229998991763,New Brunswick,0.039886
2446229998991763,Nova Scotia,0.037037
2446229998991763,Ontario,0.535613
2446229998991763,Saskatchewan,0.037037
2446229998991763,Yukon,0.002849
2446229998991763,Nunavut,0.005698
2446229998991763,Quebec,0
2446229998991763,Newfoundland and Labrador,0
2446229998991763,Northwest Territories,0
2446229998991763,Prince Edward Island,0
421783892064136,Quebec,1
421783892064136,Alberta,0
421783892064136,Manitoba,0
421783892064136,New Brunswick,0
421783892064136,Prince Edward Island,0
421783892064136,Northwest Territories,0
421783892064136,Ontario,0
421783892064136,Yukon,0
421783892064136,Nunavut,0
421783892064136,Nova Scotia,0
421783892064136,Newfoundland and Labrador,0
421783892064136,British Columbia,0
421783892064136,Saskatchewan,0
408799603126253,Ontario,0.000815
408799603126253,Quebec,0.999185
408799603126253,Alberta,0
408799603126253,Manitoba,0
408799603126253,New Brunswick,0
408799603126253,Prince Edward Island,0
408799603126253,Northwest Territories,0
408799603126253,Yukon,0
408799603126253,Nunavut,0
408799603126253,Nova Scotia,0
408799603126253,Newfoundland and Labrador,0
408799603126253,British Columbia,0
408799603126253,Saskatchewan,0
2396572443918175,Quebec,1
2396572443918175,Alberta,0
2396572443918175,Manitoba,0
2396572443918175,New Brunswick,0
2396572443918175,Prince Edward Island,0
2396572443918175,Northwest Territories,0
2396572443918175,Ontario,0
2396572443918175,Yukon,0
2396572443918175,Nunavut,0
2396572443918175,Nova Scotia,0
2396572443918175,Newfoundland and Labrador,0
2396572443918175,British Columbia,0
2396572443918175,Saskatchewan,0
2174219836204911,Alberta,0.017736
2174219836204911,British Columbia,0.008569
2174219836204911,Manitoba,0.005181
2174219836204911,New Brunswick,0.004783
2174219836204911,Nova Scotia,0.001794
2174219836204911,Ontario,0.049621
2174219836204911,Quebec,0.909924
2174219836204911,Saskatchewan,0.001196
2174219836204911,Yukon,0.001196
2174219836204911,Nunavut,0
2174219836204911,Newfoundland and Labrador,0
2174219836204911,Northwest Territories,0
2174219836204911,Prince Edward Island,0
3176799545670698,Alberta,0.013703
3176799545670698,British Columbia,0.008407
3176799545670698,Manitoba,0.004943
3176799545670698,New Brunswick,0.010503
3176799545670698,Newfoundland and Labrador,0.000309
3176799545670698,Nova Scotia,0.00342
3176799545670698,Ontario,0.058761
3176799545670698,Quebec,0.896467
3176799545670698,Saskatchewan,0.002383
3176799545670698,Yukon,0.000993
3176799545670698,Nunavut,0.00011
3176799545670698,Northwest Territories,0
3176799545670698,Prince Edward Island,0
2278025822325227,Ontario,1
2278025822325227,Quebec,0
2278025822325227,Alberta,0
2278025822325227,Manitoba,0
2278025822325227,New Brunswick,0
2278025822325227,Prince Edward Island,0
2278025822325227,Northwest Territories,0
2278025822325227,Yukon,0
2278025822325227,Nunavut,0
2278025822325227,Nova Scotia,0
2278025822325227,Newfoundland and Labrador,0
2278025822325227,British Columbia,0
2278025822325227,Saskatchewan,0
465688557379697,Alberta,0.2
465688557379697,British Columbia,0.116279
465688557379697,Manitoba,0.074419
465688557379697,New Brunswick,0.04186
465688557379697,Nova Scotia,0.037209
465688557379697,Ontario,0.483721
465688557379697,Saskatchewan,0.04186
465688557379697,Yukon,0.004651
465688557379697,Quebec,0
465688557379697,Prince Edward Island,0
465688557379697,Northwest Territories,0
465688557379697,Nunavut,0
465688557379697,Newfoundland and Labrador,0
1169142649945658,Alberta,0.155039
1169142649945658,British Columbia,0.124031
1169142649945658,Manitoba,0.05814
1169142649945658,New Brunswick,0.065891
1169142649945658,Nova Scotia,0.069767
1169142649945658,Ontario,0.48062
1169142649945658,Saskatchewan,0.034884
1169142649945658,Yukon,0.011628
1169142649945658,Quebec,0
1169142649945658,Prince Edward Island,0
1169142649945658,Northwest Territories,0
1169142649945658,Nunavut,0
1169142649945658,Newfoundland and Labrador,0
517540862401371,Alberta,0.147914
517540862401371,British Columbia,0.13593
517540862401371,Manitoba,0.045606
517540862401371,New Brunswick,0.042277
517540862401371,Nova Scotia,0.034399
517540862401371,Ontario,0.55415
517540862401371,Prince Edward Island,0.000222
517540862401371,Saskatchewan,0.034731
517540862401371,Yukon,0.003995
517540862401371,Nunavut,0.000777
517540862401371,Quebec,0
517540862401371,Newfoundland and Labrador,0
517540862401371,Northwest Territories,0
3480177308659864,Alberta,0.162279
3480177308659864,British Columbia,0.174245
3480177308659864,Manitoba,0.044976
3480177308659864,New Brunswick,0.055433
3480177308659864,Nova Scotia,0.054208
3480177308659864,Ontario,0.447328
3480177308659864,Prince Edward Island,0.000422
3480177308659864,Saskatchewan,0.051267
3480177308659864,Yukon,0.008305
3480177308659864,Nunavut,0.001536
3480177308659864,Quebec,0
3480177308659864,Newfoundland and Labrador,0
3480177308659864,Northwest Territories,0
530229520884223,Alberta,0.165667
530229520884223,British Columbia,0.196387
530229520884223,Manitoba,0.042395
530229520884223,New Brunswick,0.045852
530229520884223,Nova Scotia,0.042656
530229520884223,Ontario,0.443582
530229520884223,Prince Edward Island,0.000457
530229520884223,Saskatchewan,0.052439
530229520884223,Yukon,0.009653
530229520884223,Nunavut,0.000913
530229520884223,Quebec,0
530229520884223,Newfoundland and Labrador,0
530229520884223,Northwest Territories,0
409819939706335,Newfoundland and Labrador,0.001002
409819939706335,Quebec,0.998325
409819939706335,Nunavut,0.000673
409819939706335,Alberta,0
409819939706335,New Brunswick,0
409819939706335,Manitoba,0
409819939706335,Prince Edward Island,0
409819939706335,Northwest Territories,0
409819939706335,Ontario,0
409819939706335,Yukon,0
409819939706335,Nova Scotia,0
409819939706335,British Columbia,0
409819939706335,Saskatchewan,0
517616808970677,Alberta,0.156201
517616808970677,British Columbia,0.160819
517616808970677,Manitoba,0.049096
517616808970677,New Brunswick,0.044972
517616808970677,Nova Scotia,0.042378
517616808970677,Ontario,0.489453
517616808970677,Prince Edward Island,0.000238
